Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
0,4,2,11,23.8,183,69,18,0,0,1
1,4,2,11,20.3,183,69,18,0,0,1
1,7,3,31,3,321,134,330,0,0,1
0,4,2,12,1,183,69,18,0,61,1
0,0,0,2,31.2,0,0,0,0,0,1
1,4,2,13,2.3,183,69,31,0,22,1
1,11,2,26,9.5,52,88,718,0,0,1
1,10,2,25,9.1,60,88,18,0,0,1
0,3,3,41,5.8,420,134,894,0,0,1
0,4,1,14,11.7,83,134,140,0,0,1
1,1,1,6,5.3,0,192,134,0,0,1
1,10,2,25,17.6,48,88,18,0,0,1
1,4,2,11,7.8,77,69,18,0,0,1
1,4,2,11,2.1,83,69,18,0,0,1
1,4,2,12,7.1,80,69,18,0,62,1
1,4,1,10,16.3,91,134,116,0,0,1
0,1,1,14,10.6,264,153,0,0,0,1
1,3,3,36,5.1,321,134,910,0,0,1
1,4,1,10,6.7,65,134,62,0,0,1
1,10,2,25,11.9,72,88,18,0,0,1
0,4,2,12,1.9,183,69,18,0,62,1
1,5,3,19,1,321,134,1002,0,0,1
1,2,1,9,8.7,70,69,18,0,71,1
0,1,1,14,9.7,264,153,0,0,0,1
1,1,1,6,6.4,180,134,0,0,0,1
1,4,2,11,5.4,109,69,148,0,0,1
1,11,3,36,3.9,420,134,18,0,1167,1
0,4,2,11,15.4,183,69,116,0,0,1
1,10,2,25,17.2,66,88,18,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
1,4,1,10,16.4,74,134,62,0,0,1
1,4,1,10,7.7,94,134,62,0,0,1
0,4,2,12,13.6,183,69,18,0,61,1
1,4,2,11,3.9,183,69,18,0,0,1
1,12,4,46,6.5,321,134,1406,0,0,1
1,4,1,10,5,77,134,62,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
1,1,1,19,3,250,153,77,0,0,1
1,4,2,12,14,183,69,18,0,61,1
1,10,2,26,32.5,73,88,2363,0,0,1
1,4,2,12,5.1,183,69,18,0,61,1
1,1,1,7,9.2,164,134,53,0,0,1
1,10,2,25,5.5,46,88,18,0,0,1
1,4,1,10,28.5,74,134,134,0,0,1
1,4,2,11,2.1,63,69,18,0,0,1
1,1,1,6,5.7,202,134,0,0,0,1
0,13,4,428,1.7,321,134,2382,0,1625,1
0,4,2,11,21.6,183,69,18,0,0,1
0,3,3,41,5,420,134,894,0,0,1
1,4,2,11,16.1,88,69,0,0,5,1
0,4,2,12,5,183,69,18,0,64,1
1,10,2,25,7.4,76,88,1314,0,0,1
0,1,1,52,2.9,185,134,1457,909,7481,1
1,10,2,26,5.5,96,88,2931,0,0,1
1,4,2,11,5.8,64,69,18,0,0,1
1,4,2,11,11,71,69,18,0,0,1
1,4,2,12,13.8,183,69,18,0,61,1
1,4,1,12,13.9,96,134,3041,0,0,1
1,4,2,12,9.8,78,69,18,0,70,1
1,3,3,27,0.4,420,134,0,0,0,1
1,4,1,10,6.2,84,134,62,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
1,4,2,12,25,183,69,18,0,61,1
1,1,1,19,6.4,177,153,77,0,0,1
1,1,1,6,31.2,223,134,0,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
0,4,2,12,26.9,183,69,18,0,64,1
0,4,2,12,1.1,183,69,18,0,61,1
0,10,2,26,2.8,46,88,489,0,0,1
1,4,1,10,31,69,134,18,0,0,1
0,4,2,11,9.1,71,69,18,0,0,1
1,1,1,6,16.7,181,134,0,0,0,1
1,4,1,10,4.2,57,134,146,0,0,1
0,4,2,11,5.7,183,69,2648,0,0,1
1,4,2,11,3.8,56,69,18,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
1,3,3,44,10.8,321,134,0,0,0,1
0,4,2,12,13.6,183,69,18,0,61,1
0,4,2,12,1.1,183,69,18,0,61,1
1,1,1,6,12.3,91,134,0,0,0,1
0,3,3,25,2.4,420,134,322,0,0,1
1,1,1,7,23.3,147,134,53,0,0,1
0,1,1,12,12.4,204,153,72,0,0,1
1,10,2,25,10.8,79,88,154,0,0,1
0,1,1,6,8.5,199,134,0,0,0,1
1,4,2,11,8.5,183,69,68,0,0,1
1,10,2,26,2.2,85,88,18,0,62,1
1,1,1,6,4.2,151,134,0,0,0,1
1,4,1,10,6.2,66,134,62,0,0,1
1,4,2,11,6.4,56,69,18,0,0,1
1,4,1,10,11,58,134,18,0,0,1
0,4,2,11,7,183,69,2348,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
1,4,2,11,8.2,91,69,44,0,0,1
1,4,1,10,11.8,76,134,62,0,0,1
1,4,2,11,23.1,183,69,18,0,0,1
1,4,2,12,12.1,183,69,18,0,61,1
0,4,2,12,1,183,69,18,0,61,1
0,4,2,11,10.7,183,69,18,0,0,1
0,2,2,30,3.4,420,134,618,0,0,1
1,4,2,11,6,81,69,18,0,0,1
1,4,2,12,13.7,183,69,18,0,61,1
1,12,4,43,7.8,321,134,330,0,0,1
1,1,1,7,6.9,159,134,53,0,0,1
1,4,2,11,15.6,183,69,18,0,0,1
1,4,2,12,6,57,69,18,0,61,1
1,4,1,10,10.4,60,134,62,0,0,1
1,4,2,11,15.3,183,69,18,0,0,1
1,3,3,48,3.8,420,134,0,0,0,1
1,1,1,6,9.8,190,134,0,0,0,1
0,4,2,12,24.9,183,69,18,0,61,1
0,4,2,12,1.1,183,69,18,0,61,1
1,4,2,13,2.2,183,69,31,0,22,1
1,4,2,12,3.6,183,69,18,0,62,1
1,4,2,11,21.6,183,69,18,0,0,1
1,4,2,12,6.2,183,69,18,0,61,1
1,4,2,12,10.9,183,69,18,0,61,1
1,4,2,12,12.7,0,183,69,181,0,1
1,4,2,12,16,183,69,18,0,61,1
1,10,2,24,13.3,72,88,686,0,0,1
0,4,2,11,6.1,183,69,2348,0,0,1
1,10,2,25,5.3,74,88,1080,0,0,1
0,4,2,12,12.7,183,69,18,0,61,1
0,4,2,12,14.2,183,69,18,0,61,1
1,4,2,11,8.7,183,69,54,0,0,1
0,4,2,12,5.2,183,69,18,0,62,1
1,1,1,7,10.5,0,163,134,398,0,1
1,4,1,10,7.8,91,134,62,0,0,1
0,1,1,19,12.4,225,153,77,0,0,1
1,1,1,19,5.9,0,303,153,240,0,1
1,4,1,12,17,73,134,2359,0,0,1
1,4,2,11,15.6,183,69,78,0,0,1
1,3,3,27,0.6,420,134,0,0,0,1
1,4,1,10,5.5,64,134,18,0,0,1
1,4,2,12,8.5,183,69,18,0,61,1
1,4,1,10,7.1,77,134,62,0,0,1
1,4,2,11,9.9,183,69,18,0,0,1
1,1,1,6,25,171,134,0,0,0,1
1,1,1,6,7.4,191,134,0,0,0,1
0,2,2,15,172.3,321,134,0,0,0,1
0,4,23,2159,0.7,4497,3244,3474,5202,7722,1
1,1,1,6,4.5,212,134,0,0,0,1
1,4,1,10,12.9,63,134,18,0,0,1
1,4,1,10,6.8,69,134,62,0,0,1
1,2,2,29,4.6,420,134,64,0,0,1
1,5,3,19,14.2,0,420,134,890,0,1
0,4,2,12,15.6,183,69,18,0,61,1
1,1,1,6,18.6,171,134,0,0,0,1
1,10,2,25,5.1,60,88,18,0,0,1
1,4,2,12,16.8,183,69,18,0,61,1
1,12,4,54,7.6,154,134,932,0,0,1
0,4,2,11,6.9,66,69,68,0,0,1
0,1,1,6,2.1,167,134,0,0,0,1
0,1,1,7,7,185,134,53,0,0,1
1,3,3,31,2.2,0,321,153,0,0,1
1,4,2,12,10,70,69,18,0,815,1
0,4,2,11,7,183,69,2348,0,0,1
1,4,2,12,4.7,183,69,18,0,61,1
1,4,1,10,7.6,93,134,572,0,0,1
1,4,2,12,17.4,183,69,18,0,61,1
1,1,1,7,0.5,151,134,0,0,0,1
1,10,2,25,14.8,56,88,18,0,0,1
1,4,2,12,16.9,183,69,18,0,61,1
1,4,2,11,17.7,183,69,116,0,0,1
0,1,1,6,2.3,184,134,0,0,0,1
1,1,1,19,2.7,0,173,153,240,0,1
1,4,2,11,40.8,62,69,18,0,0,1
1,1,1,6,10,183,134,0,0,0,1
0,4,2,12,1,183,69,18,0,61,1
1,1,1,7,1.9,420,134,12879,0,0,1
0,4,2,11,4.6,183,69,116,0,0,1
1,3,3,41,2.7,0,420,134,465,0,1
0,12,4,84,2,321,134,2382,0,0,1
1,4,2,11,13.2,59,69,370,0,0,1
1,4,2,11,5.6,183,69,116,0,0,1
1,4,2,11,10.6,65,69,18,0,0,1
1,10,2,25,10.8,79,88,218,0,0,1
0,10,2,26,3.7,40,88,489,0,0,1
1,4,1,10,11.7,81,134,62,0,0,1
1,4,2,11,8.8,88,69,18,0,0,1
0,4,2,12,1,183,69,18,0,61,1
1,1,1,7,7.9,0,420,134,216,0,1
0,4,2,12,4.1,183,69,18,0,61,1
0,6,4,24,38.9,420,134,884,0,0,1
1,4,2,11,7.7,80,69,18,0,0,1
1,4,2,11,27.2,0,183,69,181,0,1
1,4,1,10,5.8,63,134,62,0,0,1
1,4,2,11,21.7,73,69,18,0,0,1
1,5,3,21,12.9,321,134,990,0,0,1
